LoanID,CustomerID,AccountID,LoanAmount,InterestRate,LoanStartDate,LoanEndDate
38,2148,2226,133179.13,14.31,2002-02-10,2045-08-07
39,2975,2153,179811.17,10.65,2011-12-18,2036-08-04
40,584,3007,246140.26,7.41,2006-05-15,2048-06-14
41,2456,4435,527122.98,8.18,2008-10-20,2039-08-25
42,4935,1553,567466.24,13.07,2025-05-08,2025-07-24
43,971,204,706213.22,6.87,2010-06-03,2038-12-09
44,4319,1680,835357.09,11.63,2012-05-28,2042-01-25
45,3779,3147,860597.53,11.14,2004-12-30,2031-08-28
46,4232,3791,833052.73,12.61,2000-11-07,2043-06-11
47,3601,2151,619825.87,6.3,2015-09-18,2028-06-07
48,2924,4373,596542.31,10.22,2025-04-02,2025-11-28
49,1448,4487,763883.41,11.82,2001-01-22,2041-05-22
50,4494,3274,859331.29,6.18,2011-02-05,2026-04-08
51,4363,3664,147902.32,7.31,2020-07-06,2034-05-30
52,671,2578,911324.21,12.66,2005-07-23,2027-06-27
53,3514,4202,544751.48,13.46,2012-06-16,2031-10-11
54,2560,3815,464290.51,9.21,2020-05-19,2040-03-10
55,1114,1516,771924.36,7.83,2003-09-14,2039-03-26
56,4222,2759,99992.51,14.0,2022-01-10,2037-06-25
57,4067,3180,443544.24,7.66,2006-07-23,2044-04-04
58,3431,64,609679.88,8.33,2015-05-13,2047-03-23
59,3399,4842,236424.54,12.3,2018-07-27,2032-01-08
60,1546,4125,623863.65,10.94,2008-11-05,2033-12-21
61,4694,2875,436253.86,6.39,2004-02-29,2025-10-21
62,3314,739,39527.27,11.76,2022-04-06,2040-06-20
63,2301,3338,130632.62,14.04,2022-08-18,2025-03-14
64,2615,2418,391908.22,10.06,2002-09-13,2050-11-18
65,2377,4861,83850.65,14.63,2019-01-31,2037-12-17
66,3253,3853,146343.04,6.25,2018-06-29,2032-12-17
67,1449,757,760427.38,8.71,2019-02-11,2048-07-18
68,913,1655,656499.29,12.1,2021-04-10,2043-04-20
69,2574,1466,903326.09,7.54,2020-10-24,2049-03-16
70,492,62,19866.09,7.58,2003-05-13,2037-06-12
71,162,4815,850159.56,5.98,2014-12-13,2042-07-23
72,2089,2970,883606.41,13.61,2006-11-01,2032-03-29
73,2618,2774,776341.3,12.05,2011-08-23,2046-12-04
74,3586,2369,931266.62,11.53,2025-11-30,2030-11-07
75,1856,4202,807460.37,14.18,2006-10-24,2040-08-23
76,3297,2714,855711.59,11.43,2021-12-24,2045-06-10
77,4230,1728,212006.78,9.14,2003-09-27,2033-01-14
78,4138,4048,795960.49,8.4,2003-11-21,2040-06-17
79,2442,1818,347698.44,12.47,2020-05-20,2042-06-02
80,1453,282,796951.25,12.89,2022-08-15,2035-11-28
81,3793,4983,96171.91,7.51,2023-10-09,2041-07-25
82,2982,96,793692.92,11.45,2003-05-31,2050-10-17
83,2795,943,252063.32,13.05,2020-02-12,2025-01-09
84,3300,1348,334703.39,13.08,2012-12-04,2032-04-08
85,1471,128,354915.71,13.08,2010-01-30,2041-07-03
86,1827,2058,270693.07,6.83,2002-03-29,2042-12-30
87,2035,1508,201176.36,14.15,2012-11-02,2033-06-05
88,3972,1583,666852.27,8.42,2022-11-23,2044-12-25
89,2080,3007,880782.45,5.91,2010-08-19,2028-05-05
90,2361,2027,682618.51,6.96,2024-06-17,2041-10-30
91,3836,181,32302.23,10.26,2001-06-23,2048-06-17
92,782,1528,334040.61,6.74,2019-08-09,2042-01-20
93,1602,117,421083.41,14.03,2002-08-10,2025-10-10
94,3636,3013,832773.73,10.64,2021-11-08,2045-07-18
95,3326,3826,126093.52,10.43,2012-01-07,2049-09-18
96,1823,4983,283989.5,12.06,2006-03-05,2048-11-22
97,3266,4821,474908.09,11.79,2005-07-24,2029-08-05
98,2060,4504,378876.53,6.19,2023-09-28,2028-08-15
99,903,629,63555.88,14.3,2017-07-11,2026-08-30
100,3598,3573,442531.65,7.22,2003-10-24,2049-03-14
101,3451,700,853441.33,7.01,2019-11-14,2043-03-10
102,2058,1644,414682.58,14.56,2004-11-21,2048-03-14
103,52,238,700897.89,9.29,2011-04-19,2033-10-26
104,3494,4649,371773.28,8.56,2004-03-23,2047-01-08
105,1301,2581,832977.26,7.93,2020-01-16,2044-02-20
106,1036,1367,921838.47,8.22,2012-03-03,2034-03-19
107,3665,1347,180742.64,11.49,2018-03-17,2045-11-11
108,4669,1352,942157.45,11.62,2010-03-02,2050-10-04
109,3668,641,478291.39,13.83,2010-04-30,2040-09-29
110,467,3726,738804.43,14.4,2000-04-20,2036-08-30
111,1166,4934,516023.91,12.83,2013-12-29,2041-11-04
112,4053,3332,80618.59,5.55,2018-06-12,2037-11-13
113,591,1332,500404.55,5.62,2012-04-06,2031-08-19
114,2285,4295,549900.21,12.19,2012-10-21,2035-07-25
115,2197,816,225616.54,14.65,2004-10-31,2043-07-09
116,3181,958,461759.43,7.3,2022-10-04,2035-04-10
117,1682,928,655993.61,12.89,2000-04-06,2040-08-30
118,4641,2494,229276.5,12.81,2000-05-02,2039-12-31
119,79,2287,52532.6,11.23,2009-11-24,2026-08-22
120,2344,2763,380515.98,6.47,2011-12-18,2049-12-10
121,4827,1653,56924.41,7.56,2004-05-28,2030-04-21
122,1359,1377,350392.57,12.2,2009-10-27,2027-02-21
123,2654,425,911157.38,7.35,2018-08-07,2025-12-06
124,4816,235,309946.57,14.9,2016-06-24,2027-04-22
125,3320,1619,943837.14,8.91,2006-09-27,2039-09-30
126,1011,4963,824002.13,12.49,2023-12-05,2026-11-14
127,2643,1853,832335.91,7.08,2012-01-20,2035-08-25
128,233,3198,153382.08,9.62,2014-04-09,2039-08-01
129,2728,4537,277003.91,6.47,2007-07-30,2039-08-04
130,4787,98,947238.47,14.15,2016-10-06,2045-04-10
131,482,2450,920453.17,7.51,2010-11-20,2049-02-23
132,1620,93,486909.27,10.01,2007-10-25,2048-10-01
133,3850,4335,566829.87,13.9,2010-03-27,2049-01-24
134,759,2383,599697.91,10.63,2007-05-04,2025-01-21
135,1410,2576,516197.42,8.72,2000-05-13,2029-12-17
136,1723,1376,423977.65,10.51,2024-05-27,2044-07-01
137,1843,3485,996579.69,14.64,2002-07-16,2046-06-12
138,1656,1235,14577.19,5.78,2021-08-09,2027-08-07
139,3293,4219,215958.12,8.31,2010-07-11,2037-11-01
140,644,1449,438262.72,9.25,2016-09-19,2042-05-09
141,259,2302,407051.48,5.09,2010-07-03,2033-03-17
142,4408,137,404356.82,9.54,2007-01-10,2030-11-14
143,47,2198,192832.93,6.31,2024-08-23,2028-04-30
144,2494,2467,443025.33,6.09,2005-11-30,2027-09-06
145,2292,4695,881735.42,5.03,2004-06-29,2037-12-18
146,4694,183,683468.98,12.38,2000-10-25,2049-10-02
147,2564,4860,637858.63,7.58,2001-08-18,2046-02-26
148,57,1688,307903.08,13.42,2001-05-23,2048-02-01
149,3102,2685,394458.0,14.19,2020-07-04,2028-03-08
150,3641,3277,832631.33,14.42,2013-12-02,2031-10-28
151,2198,1279,386530.83,9.94,2021-08-27,2036-07-23
152,1387,4705,982467.74,10.06,2007-12-21,2031-01-24
153,4398,1172,486259.52,7.36,2023-09-12,2032-09-29
154,2622,2264,831709.21,7.97,2013-03-15,2029-10-15
155,2770,991,394273.03,11.65,2007-10-23,2047-11-25
156,1268,2601,105353.46,11.24,2003-11-01,2028-05-19
157,2924,1250,162180.31,11.65,2004-07-04,2027-07-07
158,2367,314,314536.24,10.44,2021-01-24,2026-08-22
159,1250,2914,798365.45,7.21,2018-12-20,2035-07-10
160,1251,3386,362540.21,9.85,2003-11-08,2034-10-18
161,3914,1434,849958.64,10.7,2012-02-29,2028-03-31
162,2621,2929,979599.67,11.04,2015-02-23,2037-03-22
163,2995,3709,227877.15,12.7,2022-02-07,2038-11-08
164,1788,3564,959746.05,7.47,2024-03-03,2050-12-05
165,1452,774,183814.47,9.21,2010-01-02,2050-10-13
166,1203,4233,598410.34,11.34,2015-01-24,2029-03-31
167,78,2681,499924.61,9.5,2016-02-18,2047-04-23
168,3874,4015,524938.08,5.0,2001-03-23,2045-05-08
169,1172,2485,328816.23,9.38,2007-04-17,2035-11-17
170,1825,4999,469141.75,9.48,2003-08-08,2029-08-01
171,2392,4424,112802.73,7.17,2024-03-17,2050-07-31
172,4173,2173,659390.65,14.39,2002-01-16,2025-04-15
173,496,2328,754429.95,5.28,2018-04-18,2050-12-24
174,1347,1287,459321.05,7.53,2013-04-27,2048-09-19
175,1529,2920,700456.01,8.49,2012-01-10,2027-09-21
176,4503,4614,959750.36,14.75,2022-05-03,2043-10-02
177,2285,2846,652019.65,14.87,2023-12-19,2028-01-24
178,4329,692,509248.33,9.39,2006-01-14,2032-08-11
179,4977,423,269520.66,9.98,2013-06-05,2047-01-10
180,2680,1895,232411.86,6.25,2016-08-13,2039-04-07
181,427,1370,814129.69,9.68,2005-10-13,2039-01-30
182,20,3869,205163.28,11.5,2003-02-24,2048-12-13
183,2063,3285,380414.11,14.39,2023-05-17,2027-12-07
184,3030,3162,848917.48,7.7,2013-08-06,2029-01-26
185,2767,1098,609021.81,8.36,2017-10-26,2040-09-29
186,4312,306,426215.39,10.33,2021-03-31,2043-10-14
187,3996,3506,545321.33,10.45,2015-02-02,2033-09-24
188,4790,3199,835503.14,11.64,2008-07-04,2049-02-15
189,3859,491,689847.53,5.42,2010-09-30,2044-05-05
190,3060,1657,311114.65,5.32,2020-10-14,2039-05-13
191,1491,4067,66610.9,14.5,2014-05-06,2044-05-25
192,1258,1360,467594.96,13.83,2015-01-10,2046-09-21
193,2476,2895,801519.22,11.48,2002-07-20,2027-04-03
194,4838,1261,228896.37,7.27,2005-07-03,2026-10-07
195,111,1590,982867.7,13.37,2017-05-14,2042-07-12
196,3219,1891,757589.92,5.78,2013-11-17,2035-10-18
197,2239,4887,19266.16,5.51,2004-12-15,2029-11-15
198,4492,3865,825169.75,14.26,2016-03-15,2028-03-25
199,4731,1545,251769.31,8.16,2006-10-16,2049-03-24
200,293,773,980442.88,13.87,2007-04-11,2045-06-09
201,3437,1457,804306.15,8.43,2005-03-21,2033-10-17
202,2579,2285,996034.74,10.44,2024-03-02,2032-05-24
203,4095,478,651937.55,7.59,2002-12-09,2036-01-20
204,624,81,233466.91,11.78,2002-12-27,2048-07-24
205,2932,4124,684946.67,7.58,2017-08-07,2041-05-20
206,4970,4759,86235.62,5.03,2009-08-09,2032-09-07
207,2999,3373,122039.73,9.17,2022-01-27,2033-02-01
208,4985,1287,771079.66,10.48,2023-05-30,2039-04-13
209,2435,1401,952893.97,9.18,2023-11-04,2025-12-14
210,2602,1593,176304.9,9.43,2019-01-27,2026-04-15
211,1246,11,181334.66,9.15,2001-02-22,2032-10-27
212,508,4287,264076.84,7.26,2025-11-26,2042-04-27
213,2453,2643,919434.67,12.31,2016-08-20,2046-09-20
214,1553,327,848549.18,11.7,2016-11-02,2043-01-31
215,2812,1440,989252.57,9.86,2010-10-18,2048-11-19
216,914,4888,363790.33,12.8,2024-10-10,2031-12-09
217,4643,1601,667994.01,12.3,2004-01-17,2041-10-31
218,1611,3941,853153.64,9.27,2008-06-16,2044-04-24
219,1270,3376,632280.97,10.42,2017-07-17,2026-12-11
220,1656,3099,50918.85,6.96,2013-11-07,2037-10-30
221,4951,3812,942532.81,13.83,2011-07-16,2027-01-07
222,4294,1560,356194.97,6.72,2004-05-08,2038-03-23
223,1628,3776,594800.86,11.79,2010-06-18,2039-08-24
224,2750,3981,319138.64,12.47,2020-12-08,2041-01-14
225,468,3503,174479.99,12.86,2007-10-13,2048-02-05
226,617,4377,734772.44,9.21,2002-08-14,2042-05-21
227,1064,3403,491427.17,7.75,2012-08-23,2041-09-11
228,882,2948,67063.46,6.89,2024-10-13,2033-05-05
229,3608,2316,969157.55,8.08,2015-08-29,2043-04-21
230,4859,1179,165226.76,7.81,2014-01-07,2044-02-28
231,4648,3101,465470.83,11.31,2019-02-08,2043-02-12
232,2969,741,172873.45,5.88,2018-11-18,2038-04-17
233,1485,2737,635947.19,13.77,2003-08-23,2026-01-01
234,706,2374,202144.09,11.29,2023-02-02,2046-04-10
235,23,139,179978.64,13.01,2000-09-07,2049-10-10
236,1471,1237,499136.51,12.04,2001-09-10,2049-12-20
237,1016,3784,317471.37,8.36,2001-08-19,2039-11-22
238,1532,2202,516619.97,7.14,2024-05-05,2032-01-28
239,951,2642,803101.21,14.91,2022-05-18,2050-03-24
240,3390,4984,754864.8,11.64,2013-08-05,2048-06-22
241,4273,1741,192501.48,8.91,2000-10-08,2025-07-26
242,501,406,548073.5,7.49,2014-10-16,2046-11-04
243,872,1075,510912.53,11.58,2011-05-13,2041-03-31
244,4853,305,657862.86,12.92,2016-04-12,2045-01-12
245,915,4943,646058.23,13.94,2010-05-25,2038-05-17
246,3047,4834,492400.18,5.06,2011-01-25,2043-02-21
247,3943,2983,442759.57,5.28,2021-09-03,2035-05-19
248,4663,3463,723827.65,7.54,2001-10-25,2034-01-24
249,879,3951,475514.37,7.69,2021-02-21,2029-10-30
250,4275,2112,663782.85,13.97,2013-07-08,2038-12-13
251,2228,1916,162923.26,11.11,2009-12-08,2027-10-16
252,1692,2343,522845.75,7.77,2004-06-12,2042-01-10
253,2470,1673,943447.5,7.08,2003-12-08,2037-06-28
254,4701,4547,465450.78,10.93,2007-02-03,2041-02-20
255,2853,3765,779831.19,11.94,2020-06-02,2029-04-27
256,81,543,656108.76,5.29,2006-12-22,2029-07-24
257,635,916,591313.69,6.39,2011-08-28,2041-05-06
258,1584,658,823371.76,7.88,2005-09-08,2028-04-17
259,1732,3719,618744.18,11.51,2004-12-06,2025-05-18
260,2578,2699,580525.89,14.09,2024-01-04,2037-02-06
261,1947,2452,44040.22,8.02,2024-09-24,2046-06-24
262,3512,3841,27485.05,10.13,2006-07-05,2047-11-11
263,3990,1359,820572.48,14.67,2008-11-01,2035-06-01
264,25,4851,374298.38,13.53,2011-03-26,2037-06-27
265,4035,4684,722682.03,7.61,2012-03-29,2050-05-02
266,2497,1699,16884.78,7.21,2010-12-11,2033-04-21
267,3951,1042,995866.19,6.4,2005-06-22,2043-03-19
268,785,2688,536535.54,7.12,2023-01-07,2044-07-25
269,2753,4933,550995.12,13.68,2008-07-02,2026-07-18
270,3356,2688,359609.57,14.29,2013-05-09,2038-05-20
271,1168,882,850506.33,8.94,2000-03-18,2050-03-24
272,2580,1002,993671.63,14.83,2016-07-09,2040-02-16
273,1794,3991,635826.48,13.19,2010-09-15,2033-11-11
274,4411,4657,846843.3,12.26,2019-06-22,2025-11-15
275,1672,2201,47024.23,14.95,2012-08-12,2042-12-30
276,1495,3814,209636.96,10.52,2010-12-04,2037-02-16
277,2631,2381,500874.92,8.31,2003-02-19,2036-12-30
278,2833,631,327687.22,6.92,2014-07-17,2047-02-09
279,452,2975,475022.7,13.27,2025-01-23,2040-06-27
280,462,4742,129109.36,8.75,2022-07-26,2039-07-03
281,621,4223,974492.64,13.12,2003-09-05,2027-03-26
282,1194,2608,418825.75,10.8,2005-01-28,2047-01-13
283,3866,4314,463208.72,5.05,2000-02-29,2050-02-05
284,3916,989,932606.64,10.66,2016-12-01,2027-06-19
285,3316,4534,499392.17,7.38,2002-02-11,2028-10-28
286,4400,4746,856994.59,14.72,2009-10-07,2048-08-26
287,217,1959,468978.49,13.25,2016-12-01,2039-05-29
288,4393,2064,231745.17,11.15,2018-05-16,2029-07-19
289,3353,1432,820219.34,14.52,2012-06-20,2049-08-09
290,394,4267,319410.06,7.23,2015-12-04,2027-03-07
291,1403,1376,90071.71,14.14,2023-07-31,2028-02-25
292,2665,1304,714270.29,14.65,2024-07-06,2027-06-30
293,2501,2313,274074.58,5.74,2023-04-26,2035-11-07
294,1996,3462,233943.19,6.36,2014-11-17,2030-06-16
295,2644,1748,694658.48,10.5,2005-10-31,2042-06-27
296,3775,2701,448923.87,8.66,2008-09-23,2031-08-23
297,1618,1844,497360.53,12.97,2001-10-09,2045-11-11
298,3150,738,776105.56,8.96,2012-07-21,2050-02-27
299,2844,653,900008.24,10.18,2018-12-23,2035-04-24
300,1900,2441,782081.95,6.44,2012-05-25,2030-12-16
301,2684,1525,567738.19,8.74,2021-11-22,2035-09-29
302,1579,4485,924521.91,13.87,2016-04-28,2040-02-09
303,4245,1714,345126.72,5.37,2005-12-31,2037-09-25
304,2920,3671,115538.57,12.07,2018-05-12,2035-10-28
305,115,1861,962678.96,7.55,2022-12-25,2043-02-13
306,770,3569,420532.53,9.7,2012-07-11,2039-01-14
307,955,2924,159192.44,8.0,2000-02-10,2038-11-24
308,2829,4494,741460.94,6.98,2003-05-13,2036-01-26
309,672,900,938020.97,7.51,2020-09-16,2027-03-21
310,3582,3425,683616.61,13.9,2018-02-16,2048-06-27
311,3827,708,215993.71,7.13,2018-10-28,2028-09-21
312,3305,925,922656.57,9.64,2016-07-30,2026-06-15
313,4315,2235,652232.11,11.11,2013-12-27,2046-03-15
314,2665,4877,747144.93,9.13,2000-05-23,2043-10-20
315,2356,3918,272406.56,8.92,2001-08-11,2042-05-11
316,2830,1788,19239.12,13.02,2025-05-25,2046-05-19
317,2599,4892,689025.25,10.2,2004-03-13,2048-03-11
318,1564,2112,524456.76,5.0,2003-12-17,2042-09-28
319,3729,2236,357156.15,7.14,2004-03-15,2026-01-28
320,4393,753,82847.92,8.69,2019-06-07,2039-07-23
321,1246,1121,459104.2,13.17,2016-04-09,2038-04-14
322,2998,254,715397.57,7.4,2004-09-01,2038-07-16
323,248,4847,920232.85,11.74,2007-01-13,2025-08-28
324,593,4769,976501.52,5.88,2002-09-04,2035-02-11
325,3985,1189,287162.06,8.87,2017-01-28,2031-05-05
326,1812,893,454452.36,6.9,2018-05-08,2029-02-23
327,4609,2756,119519.3,10.86,2014-09-20,2043-04-14
328,3474,4720,32733.11,11.56,2019-05-15,2043-06-19
329,3883,2255,885884.07,12.35,2003-08-01,2039-02-03
330,4073,1328,432301.28,14.81,2011-04-13,2029-04-25
331,1295,1400,359828.97,14.44,2007-04-08,2046-09-17
332,2787,2084,338927.11,9.67,2019-09-13,2045-07-20
333,3991,3154,326732.13,5.29,2019-10-16,2045-04-16
334,1264,2126,672661.8,8.79,2018-06-18,2034-10-25
335,973,2829,574718.45,11.44,2017-08-12,2050-10-09
336,817,3070,385130.77,10.05,2010-07-14,2048-04-13
337,2412,3405,714535.05,5.66,2020-03-23,2050-07-21
338,4325,1369,603477.84,8.11,2019-06-04,2036-08-04
339,2074,1934,837758.94,8.8,2001-09-17,2031-04-02
340,2478,294,360201.86,10.56,2018-01-11,2036-01-22
341,2809,652,390286.18,5.36,2001-06-06,2043-03-11
342,15,3803,344874.78,7.95,2018-09-19,2035-12-31
343,2270,2717,227751.82,7.5,2011-01-12,2027-03-31
344,2184,2948,412145.35,8.91,2023-08-30,2029-01-05
345,45,4721,513630.96,13.71,2011-01-09,2044-02-18
346,358,1682,337411.78,12.7,2012-11-14,2039-12-05
347,4188,2960,672773.41,14.01,2016-02-11,2043-06-09
348,4163,2415,226334.49,9.58,2016-08-21,2032-06-29
349,737,90,423705.3,14.22,2019-02-19,2035-10-15
350,2332,1836,206969.76,12.67,2007-06-26,2036-09-29
351,4427,83,581347.77,7.18,2018-05-29,2031-05-30
352,1519,520,952743.31,7.08,2007-03-23,2038-04-02
353,2655,2111,360324.09,14.1,2003-01-03,2050-09-14
354,3499,503,339134.37,11.03,2006-04-16,2033-01-13
355,1349,1462,729125.73,8.08,2020-08-03,2027-06-17
356,1875,259,502615.4,14.08,2005-11-21,2034-12-08
357,3135,1918,880578.99,10.58,2005-05-17,2035-03-03
358,3083,3272,757393.49,9.05,2011-10-08,2034-06-27
359,1655,4425,97833.65,5.2,2019-10-01,2026-12-05
360,1112,1784,315935.15,5.26,2012-02-26,2029-03-26
361,3802,1391,412992.75,7.53,2019-09-10,2027-06-26
362,3031,4736,176956.26,8.56,2019-08-23,2034-03-20
363,54,2147,284811.04,8.19,2011-09-29,2031-04-17
364,2637,4717,533606.6,5.29,2009-07-29,2050-01-28
365,3915,4286,198590.55,8.03,2013-10-13,2031-04-07
366,2521,2642,228819.67,9.98,2017-09-19,2035-04-09
367,4550,4850,436422.81,12.63,2017-04-05,2031-01-04
368,2746,1802,844776.23,10.97,2016-04-19,2045-08-12
369,2389,3904,702495.62,13.34,2002-12-12,2034-11-01
370,232,3370,186551.22,5.46,2015-06-21,2038-01-23
371,3616,497,215230.79,7.25,2008-12-14,2035-03-15
372,2787,4946,983721.46,13.57,2000-12-10,2026-10-15
373,165,2542,434369.2,10.48,2021-08-10,2038-08-18
374,795,2905,520927.06,9.73,2013-08-19,2027-03-22
375,1558,2798,137648.53,10.43,2012-01-28,2031-09-18
376,2725,284,966230.4,9.06,2006-10-21,2033-06-19
377,390,2933,995262.27,7.11,2010-01-09,2045-08-20
378,962,1082,464090.62,13.57,2025-08-19,2028-10-31
379,1634,3544,143655.65,6.98,2008-12-16,2043-09-01
380,1076,3985,511032.08,13.14,2014-04-02,2033-12-18
381,4746,4564,73373.44,5.29,2003-05-26,2031-06-27
382,233,701,120233.57,6.47,2022-09-30,2041-01-08
383,770,3331,316086.78,11.99,2018-12-11,2049-08-23
384,2692,749,463362.09,5.71,2019-03-13,2036-08-24
385,4626,1545,862819.02,5.67,2025-10-05,2035-05-19
386,4835,767,68327.95,12.65,2008-01-07,2048-04-29
387,4709,1749,98406.62,5.87,2022-12-31,2029-01-14
388,4049,1411,901461.28,5.79,2021-07-11,2038-02-18
389,400,3612,711496.09,13.86,2011-05-07,2026-09-05
390,4065,4684,374312.03,6.94,2010-05-18,2043-10-19
391,3223,3789,962063.02,5.47,2022-06-20,2033-11-12
392,3781,3296,733835.51,6.47,2019-05-18,2040-01-26
393,4120,473,396959.22,12.16,2022-01-14,2029-03-18
394,857,4081,566131.8,14.03,2003-07-19,2048-12-27
395,4159,2376,687900.19,7.97,2023-12-08,2037-12-11
396,2332,2985,148971.11,7.98,2007-12-17,2039-05-11
397,4627,1838,99821.07,5.59,2011-02-26,2036-01-06
398,2067,4724,932750.98,7.78,2020-06-16,2038-06-27
399,242,3786,538664.12,8.57,2021-11-13,2048-06-10
400,4720,2754,876833.93,5.2,2010-05-05,2036-11-11
401,1581,2224,152039.13,5.91,2015-10-26,2035-10-30
402,4092,2164,923306.46,7.16,2019-11-08,2039-04-13
403,2888,1968,914012.12,14.23,2022-09-01,2050-11-30
404,661,1731,863791.24,7.42,2022-05-18,2044-05-30
405,3097,4047,916794.58,7.24,2007-10-29,2047-07-30
406,1945,1536,615361.52,6.06,2006-09-03,2049-11-09
407,4512,3244,995576.79,11.21,2002-06-07,2035-11-11
408,2181,100,137308.78,10.29,2006-06-24,2046-02-20
409,1598,1411,675656.08,9.95,2002-01-07,2029-06-14
410,4748,1250,62958.7,8.97,2015-02-15,2046-03-20
411,2468,1478,996372.72,14.22,2010-09-26,2048-12-21
412,2051,1800,950262.92,5.87,2021-12-05,2038-04-23
413,1545,1264,814176.85,6.48,2021-07-01,2033-05-23
414,3927,2101,491175.84,13.22,2001-07-15,2049-02-20
415,4905,305,364214.38,14.37,2001-04-03,2046-04-12
416,2618,3565,866683.07,14.72,2004-02-28,2034-06-27
417,1852,2283,508795.77,10.02,2005-04-22,2029-02-12
418,4832,1584,377624.61,14.3,2006-07-24,2049-03-05
419,4563,1797,539203.06,7.29,2007-08-15,2044-02-17
420,2192,3760,49778.74,7.55,2000-08-09,2036-09-13
421,948,2406,685809.03,11.93,2016-02-12,2045-11-10
422,1360,1907,756017.63,5.64,2005-10-22,2042-03-05
423,2047,1138,209817.82,11.4,2005-04-25,2047-04-25
424,2553,280,398330.51,11.86,2007-02-08,2046-03-09
425,3226,4868,217537.17,11.82,2013-07-08,2033-10-18
426,3775,283,350912.57,7.82,2022-09-21,2045-10-09
427,2435,2414,389105.28,7.11,2024-11-09,2043-01-14
428,2917,226,361032.92,11.79,2006-04-11,2038-10-27
429,1485,600,126698.48,9.18,2019-12-29,2035-01-12
430,293,3260,789671.66,14.21,2015-02-27,2044-11-27
431,2349,4530,829624.36,6.05,2024-04-21,2046-08-18
432,1044,3183,329904.3,7.36,2010-05-29,2044-09-17
433,2325,2808,168125.76,7.05,2005-04-05,2043-12-22
434,4692,2900,955295.04,8.49,2013-10-25,2036-06-12
435,4880,1583,596396.72,7.95,2015-12-19,2045-04-09
436,4230,3257,816152.67,8.65,2025-02-16,2040-05-05
437,2430,573,445513.18,11.43,2014-07-17,2026-10-23
438,2094,213,223748.15,8.95,2023-02-16,2032-11-09
439,1100,3278,144759.76,7.22,2024-03-30,2031-03-13
440,4001,4945,566298.37,5.37,2018-06-03,2043-03-10
441,2525,2126,207124.05,7.05,2004-12-23,2039-11-25
442,4434,2314,689437.0,12.79,2019-02-06,2027-01-09
443,1539,778,359463.44,10.1,2019-11-05,2044-07-04
444,1441,1146,186464.79,13.99,2025-01-09,2036-03-25
445,2715,42,226355.45,14.53,2009-05-04,2048-08-28
446,1257,990,463027.08,9.72,2005-05-21,2033-03-23
447,4828,351,190798.04,6.86,2011-06-04,2037-05-16
448,4501,2849,71221.18,10.44,2021-08-24,2030-11-08
449,761,2213,482784.06,13.64,2009-01-11,2032-06-03
450,3677,3879,521263.18,9.66,2003-08-18,2042-03-01
451,4114,1176,69959.6,11.33,2022-02-20,2033-01-30
452,1146,1055,156297.49,12.5,2001-08-30,2031-09-09
453,2255,1059,480613.19,14.44,2024-07-18,2048-05-04
454,786,2069,374987.23,11.26,2019-10-29,2039-03-26
