TransactionID,AccountID,TransactionDate,Amount,TransactionType,Description
27,676,2001-02-12,216974.17,Credit,Quam assumenda perspiciatis.
28,3525,2008-07-24,476782.9,Debit,Aut fuga quidem hic.
29,1384,2018-09-15,84716.78,Debit,Accusantium nisi quia pariatur.
30,4367,2011-06-25,416663.71,Credit,Asperiores praesentium odio tempora.
31,1350,2025-03-25,107224.79,Debit,Doloremque inventore nesciunt hic.
32,2855,2022-04-28,332092.75,Debit,Iusto dolorem praesentium sint asperiores ipsam eligendi.
33,1387,2001-09-25,295821.87,Credit,Culpa cumque sint necessitatibus natus accusamus.
34,3225,2002-05-23,45897.93,Credit,Nam maxime corporis omnis odio porro.
35,2720,2022-05-20,268139.43,Credit,Reiciendis recusandae voluptates et.
36,327,2017-06-02,25731.48,Credit,Adipisci nihil reprehenderit corporis sit minus animi.
37,2123,2009-03-12,423725.06,Credit,Nisi id vitae reiciendis voluptate.
38,2396,2013-07-16,423900.97,Debit,Praesentium laborum dolore quae ratione accusantium molestias.
39,2867,2022-05-25,191309.01,Debit,Harum veritatis quia blanditiis.
40,3915,2006-03-13,452282.12,Credit,Dolor rem explicabo iste totam voluptas quaerat.
41,2340,2023-08-05,96951.05,Debit,Sed quo quia modi dolores perferendis quidem.
42,4072,2022-08-24,344452.87,Debit,Ea culpa corporis aliquid in accusamus.
43,4499,2020-04-30,206753.81,Debit,Neque rerum aliquid.
44,4292,2000-12-02,330511.13,Credit,Nemo laborum fugiat consequuntur.
45,1116,2022-11-29,60502.0,Credit,Amet corporis dignissimos dolorem.
46,1414,2001-05-09,386625.44,Debit,Temporibus eum deserunt animi.
47,152,2017-05-06,42420.33,Debit,Corrupti voluptatibus aperiam.
48,4942,2019-09-21,333823.95,Debit,Sit necessitatibus exercitationem eveniet architecto hic hic.
49,340,2021-12-09,39482.74,Credit,Ipsum ea facere impedit.
50,1679,2015-08-20,412275.78,Credit,Nisi eos quidem accusamus.
51,3985,2013-05-18,143366.22,Debit,Cumque voluptatem modi laudantium vero tempore dicta.
52,4067,2014-09-29,185772.98,Debit,Odit illo aspernatur praesentium assumenda laborum ipsa.
53,668,2017-03-04,374439.79,Credit,Ea nemo corporis nemo dolorem quisquam.
54,4854,2020-03-04,31144.66,Credit,Neque voluptatum omnis earum debitis.
55,4000,2008-03-13,376746.01,Debit,Tenetur dicta modi placeat quae libero modi enim.
56,4021,2017-03-05,499594.09,Credit,Distinctio labore possimus alias qui error.
57,2083,2022-02-25,217971.58,Debit,Adipisci dolore ipsam amet.
58,796,2009-10-12,159888.38,Debit,Magni ullam aliquam distinctio cumque.
59,2880,2017-08-15,36777.68,Credit,Quis totam cupiditate porro.
60,3129,2011-07-25,146671.55,Debit,Ratione hic a provident delectus dolor nihil.
61,1666,2013-11-07,278064.04,Credit,Iste minus corrupti deserunt ea dicta dolorem quod.
62,2948,2023-11-15,414927.77,Debit,Maxime id aperiam ipsa ab.
63,1017,2004-08-13,308369.62,Debit,Ut commodi enim dolores aliquid voluptate.
64,2726,2007-05-05,182694.83,Credit,Id corrupti nostrum itaque itaque.
65,2862,2018-09-13,448947.61,Credit,Molestias praesentium perspiciatis omnis iste hic placeat.
66,3750,2020-11-16,173183.94,Credit,Ex corporis possimus assumenda animi laborum cumque.
67,2094,2008-10-07,482838.43,Debit,At dicta dolore.
68,4581,2016-10-23,466982.51,Debit,Quisquam ducimus explicabo velit nostrum delectus.
69,547,2010-03-30,217249.08,Debit,Veniam excepturi enim id.
70,1101,2010-03-29,335843.34,Debit,Veritatis quae earum hic.
71,262,2017-03-06,266439.57,Credit,Quas est repellat expedita laborum nemo facilis.
72,906,2002-03-30,405724.33,Credit,Nostrum laudantium praesentium totam.
73,4357,2020-06-17,352054.29,Credit,Repudiandae suscipit quod ipsum sed.
74,755,2012-10-30,476474.3,Credit,Officia soluta eaque blanditiis repellat sapiente dolore.
75,1907,2020-11-08,361834.13,Credit,Magnam maxime facilis aut aut dolorum quo.
76,1529,2021-09-16,324565.19,Credit,Tenetur velit dolorem sit consectetur.
77,221,2003-03-17,110707.73,Credit,Occaecati adipisci recusandae.
78,2439,2003-05-20,134642.19,Credit,Unde quibusdam perferendis maiores molestiae dolorum.
79,3473,2018-02-09,137428.15,Debit,Laborum quisquam fugit harum eos quidem.
80,1065,2010-11-19,397169.0,Debit,Laborum aliquid totam adipisci cum corrupti.
81,1401,2008-04-07,235530.42,Credit,Tenetur aut magnam ipsa quia minus.
82,3788,2011-03-30,56029.68,Debit,Debitis voluptate explicabo libero temporibus vel.
83,1319,2011-12-07,422498.98,Credit,Nam maxime eos eligendi debitis maiores reprehenderit.
84,3959,2003-12-05,132630.14,Credit,Odit repellat repudiandae aliquam odio ipsam.
85,851,2022-09-05,480857.12,Debit,Iste a animi nostrum eum ex hic molestias.
86,1306,2015-08-11,243232.85,Debit,Sequi at deserunt deleniti voluptates non reiciendis.
87,540,2018-10-04,304826.37,Debit,Autem rerum architecto illo explicabo fugiat.
88,4747,2006-09-07,20252.53,Debit,Enim voluptatibus dignissimos.
89,3190,2019-01-15,348909.19,Credit,Magnam dignissimos libero eos voluptatibus earum.
90,2885,2002-01-05,89187.65,Credit,Porro excepturi odit a.
91,4335,2017-02-20,158924.65,Credit,Dicta hic temporibus.
92,4744,2013-08-26,183664.76,Debit,Nulla saepe maxime quae veritatis.
93,2955,2010-04-26,365061.52,Credit,Aspernatur tenetur laboriosam suscipit consectetur unde libero.
94,4792,2006-04-08,16273.24,Credit,Libero at est voluptates neque odio.
95,3436,2005-10-12,194036.81,Credit,Odit ipsam delectus.
96,1035,2011-05-25,75966.58,Debit,Cum ab officiis vel.
97,4668,2023-05-23,263003.8,Credit,In asperiores eum.
98,1514,2024-01-11,231345.71,Credit,Esse aliquam nobis ipsa quam expedita recusandae.
99,3342,2025-09-11,314441.8,Debit,Officiis alias reprehenderit possimus beatae.
100,3670,2011-11-07,105748.91,Credit,Vitae omnis sit ex nulla.
101,4778,2024-12-17,10603.81,Credit,Omnis facilis aut voluptas natus illum.
102,4953,2001-07-18,13494.34,Debit,Neque quod veritatis possimus dolorem.
103,871,2014-09-15,167531.5,Debit,Neque rerum omnis totam quos.
104,3806,2009-11-18,430346.58,Debit,Voluptas enim aperiam aliquam.
105,4503,2010-11-16,325605.93,Credit,Incidunt voluptate accusamus deserunt architecto magni.
106,4183,2015-12-31,499515.03,Credit,Quod deleniti deserunt iure.
107,4944,2005-05-27,469953.72,Credit,Nulla ducimus sint laboriosam a amet molestias.
108,1098,2004-11-26,435359.64,Credit,Facilis nulla adipisci.
109,3349,2009-05-16,496826.9,Debit,Nihil sequi voluptas excepturi ipsa.
110,835,2005-12-06,445860.98,Credit,Id ad maiores quis excepturi pariatur beatae soluta.
111,4648,2025-11-02,488502.51,Debit,Nesciunt illo dignissimos aperiam ullam.
112,1852,2019-09-03,409686.6,Debit,Exercitationem quam at.
113,2879,2020-01-13,17325.61,Debit,Ratione enim rerum optio.
114,2229,2002-02-05,143147.84,Credit,Molestias occaecati cum itaque officiis at.
115,3455,2006-05-15,464502.14,Credit,Repellendus neque neque.
116,4499,2024-05-08,321107.36,Debit,Magnam delectus occaecati suscipit.
117,1872,2016-12-22,27882.73,Debit,Commodi dolore illo nostrum officiis temporibus commodi.
118,3445,2017-10-14,312291.64,Credit,Consequatur delectus incidunt facere at numquam.
119,2395,2020-02-11,453022.77,Debit,Aliquid nobis delectus et minima dignissimos autem.
120,3591,2020-06-22,340292.25,Credit,Fugit beatae distinctio sint dolor molestiae molestiae laudantium.
121,1415,2023-03-27,465728.39,Debit,Laborum vero est praesentium consequatur enim minima dolore.
122,960,2001-09-03,422143.22,Credit,Eligendi voluptate illo eum aperiam consequuntur.
123,2061,2019-05-19,205747.11,Credit,Cum saepe veritatis tempora.
124,2307,2020-07-05,5294.15,Credit,Eligendi temporibus ex nihil ad adipisci.
125,4469,2009-09-23,460101.33,Credit,Voluptate voluptatem veritatis consectetur.
126,3957,2018-06-20,266942.84,Credit,Officiis ipsa saepe sed incidunt repellat aut.
127,1123,2017-03-28,103365.55,Credit,Fuga voluptatum pariatur veritatis.
128,495,2010-08-09,180728.87,Credit,Quae culpa laborum.
129,67,2022-07-11,432932.38,Debit,Id quis itaque.
130,4488,2019-03-06,67317.89,Credit,Vitae est excepturi blanditiis harum.
131,3178,2007-06-30,83690.67,Credit,Provident repellendus omnis saepe.
132,3778,2023-01-24,68642.69,Debit,Officia dolores laboriosam expedita.
133,4167,2012-04-12,245928.95,Debit,Fuga sint sapiente labore quam beatae.
134,1668,2006-03-17,110323.17,Credit,Excepturi mollitia accusantium doloribus.
135,1658,2022-04-26,288465.77,Credit,Expedita blanditiis dolores vero maxime officiis magnam.
136,2311,2023-05-21,411402.15,Credit,Quam dolorum amet adipisci aliquam.
137,4126,2006-02-04,53713.51,Credit,Eaque voluptatibus rerum vitae quidem laborum.
138,4391,2007-02-17,271577.11,Credit,Soluta ipsum vitae eligendi.
139,2170,2008-11-15,218035.79,Debit,Ipsa temporibus qui quod quasi magnam.
140,3893,2011-07-05,315544.89,Credit,Impedit qui architecto eaque.
141,3285,2008-02-18,354165.13,Credit,Reiciendis delectus vero eaque in a.
142,2389,2013-11-14,18728.81,Credit,Quidem explicabo saepe doloribus tempora.
143,1152,2021-03-14,228660.8,Credit,Tenetur expedita ad autem omnis.
144,3350,2025-12-13,122108.22,Debit,Nisi eum nihil culpa sunt sed molestiae voluptate.
145,1718,2013-11-21,214345.89,Credit,Eveniet nihil qui eius mollitia odit aliquam.
146,3526,2018-05-06,231587.24,Credit,Atque eaque atque alias enim mollitia.
147,4598,2000-05-29,59656.72,Credit,Nihil saepe praesentium quam.
148,2000,2019-06-19,360427.69,Credit,Id tempora repellat eius reprehenderit.
149,2429,2011-09-23,435668.21,Debit,Veritatis delectus tenetur.
150,774,2015-01-04,226199.22,Debit,Quam non quis unde libero alias.
151,3641,2002-05-16,304468.44,Debit,Nobis quibusdam minima tempora non corrupti tenetur.
152,2942,2013-05-10,34070.5,Debit,Repellendus commodi rem.
153,3971,2022-03-31,323107.63,Debit,Et dolore similique alias blanditiis voluptatum veritatis dolorem.
154,3605,2008-09-07,198735.31,Credit,Nisi et in veniam repudiandae numquam.
155,1401,2025-10-26,409695.1,Credit,Consectetur laboriosam perspiciatis libero.
156,1823,2021-10-18,291049.92,Credit,Vitae quam eius dolor esse distinctio quibusdam.
157,1872,2011-04-25,126717.0,Credit,Eum culpa quos temporibus alias occaecati ut.
158,3940,2025-02-03,265641.91,Debit,Facere occaecati sequi pariatur temporibus similique molestias.
159,1165,2002-09-09,224005.21,Credit,Accusamus mollitia fugiat commodi natus ea.
160,2806,2008-11-11,246318.05,Debit,Quia recusandae impedit quibusdam optio consequatur.
161,2689,2021-05-26,407134.7,Credit,Tempore fuga porro maiores totam velit.
162,1415,2015-01-17,261587.58,Credit,Velit magni eveniet iure minus.
163,4139,2015-10-21,325685.65,Credit,Non nemo incidunt voluptatum mollitia.
164,2390,2005-09-01,48522.26,Credit,Vel rem accusantium id.
165,1219,2021-05-24,194879.8,Credit,Laborum saepe laboriosam rem incidunt fuga.
166,4433,2002-02-10,68198.04,Debit,Et officiis tenetur quasi incidunt.
167,3396,2019-02-15,317770.37,Credit,Vel facilis repellat dicta nihil iure quibusdam.
168,3139,2008-11-07,110366.35,Credit,Saepe iure iusto doloremque doloremque fugiat nesciunt.
169,3930,2018-09-13,110732.42,Credit,Accusamus repellendus corrupti quas.
170,3760,2002-08-12,3837.5,Credit,Ut voluptatibus veniam est dolore fugit quidem perspiciatis.
171,3275,2018-07-29,179556.35,Debit,Recusandae corporis iste at et.
172,2831,2011-11-28,441405.11,Credit,At itaque eum reiciendis temporibus omnis quas.
173,1874,2012-06-20,367918.68,Credit,Cumque libero expedita tempore autem magni minima.
174,17,2009-12-21,139776.72,Debit,Dolorem officiis a ea maiores occaecati laboriosam.
175,2375,2023-05-13,210193.53,Debit,Eveniet placeat occaecati labore.
176,4121,2012-09-13,195764.98,Credit,Veniam sint hic voluptates hic illo.
177,4198,2023-02-20,170208.61,Debit,Ad voluptates culpa pariatur incidunt aliquam reiciendis quae.
178,87,2009-10-18,206164.61,Credit,Iusto quisquam nisi atque sapiente magni.
179,2325,2017-09-20,309967.83,Debit,Tempora debitis animi fugiat voluptatem.
180,3837,2009-05-11,442064.45,Credit,Nostrum temporibus in voluptatem.
181,727,2006-07-12,297256.6,Debit,Autem ratione earum molestiae assumenda.
182,1867,2021-02-05,20730.73,Credit,Consequuntur laudantium temporibus quam nemo facere odio.
183,1017,2020-10-23,376413.57,Debit,Nam quibusdam ab quasi similique.
184,2849,2008-11-22,32776.5,Debit,Tenetur impedit officia sunt hic nobis.
185,2423,2020-12-26,192380.77,Debit,Dolorum voluptatum laudantium aliquam.
186,1440,2008-09-20,367001.19,Debit,Voluptatem unde ea dicta saepe deserunt quas.
187,113,2017-01-25,302276.44,Debit,Sint totam nobis esse.
188,699,2010-10-21,95574.53,Credit,Illum itaque reprehenderit veritatis sequi voluptatum quia nulla.
189,4821,2021-07-02,182186.3,Credit,Ratione officia occaecati dicta.
190,3573,2015-04-05,427748.98,Credit,Voluptatibus quam voluptates id.
191,762,2022-03-10,17760.8,Credit,Assumenda quae repellat fugiat.
192,2239,2022-06-03,317765.17,Credit,Dolore illo nihil nihil.
193,3889,2009-12-31,390281.01,Credit,Neque quae dolorum fuga laboriosam officia aliquam enim.
194,4257,2016-04-04,23027.01,Credit,Commodi autem aspernatur earum iste quisquam sunt.
195,583,2015-05-22,228598.9,Debit,Voluptas impedit corrupti mollitia deserunt iure laudantium.
196,910,2009-04-06,4534.35,Debit,Ut nobis consequuntur asperiores culpa ex repudiandae.
197,2455,2001-05-09,171208.21,Debit,Ducimus magnam nemo consequuntur.
198,4164,2002-12-22,111386.84,Credit,Architecto alias impedit commodi.
199,4274,2012-04-07,444214.83,Debit,Non pariatur quis aperiam debitis modi perspiciatis.
200,3318,2025-04-27,459369.93,Credit,Quaerat facilis quo.
201,2837,2016-02-08,82698.76,Debit,Minus vitae ab voluptatibus.
202,11,2008-09-23,110034.48,Credit,Exercitationem dolores tempore pariatur beatae aliquam totam.
203,1026,2010-04-25,51032.97,Credit,Eum error ab asperiores itaque dicta.
204,3768,2003-02-12,446678.29,Debit,Magnam recusandae molestiae perferendis libero vero ducimus aperiam.
205,1685,2014-11-08,301869.37,Credit,Mollitia veritatis amet aperiam quas quis dignissimos.
206,4847,2022-04-21,475377.01,Debit,Sed at fugit dolorem officia veritatis illum tempora.
207,1882,2022-02-22,110138.67,Debit,Alias occaecati perspiciatis.
208,5000,2012-10-26,347310.61,Credit,Eum totam nostrum laudantium odio impedit eos voluptates.
209,2120,2002-12-26,224163.35,Debit,In possimus soluta impedit nihil laborum labore.
210,2591,2018-05-20,333308.05,Debit,Occaecati autem ex quasi.
211,4859,2005-02-27,55101.63,Debit,Iste nisi ut maiores blanditiis pariatur sequi.
212,2267,2013-12-19,90887.19,Credit,At architecto inventore quo.
213,3606,2016-06-26,429062.58,Debit,Veniam explicabo accusantium magni.
214,1526,2001-03-01,358593.31,Credit,Iusto quidem laboriosam nisi perferendis sint.
215,4342,2007-11-07,428763.07,Debit,Natus iste aspernatur ea officia minus nemo.
216,3853,2009-03-22,392624.78,Credit,Occaecati magnam neque commodi architecto earum.
217,4955,2011-01-03,289480.48,Debit,Perspiciatis fugiat at deserunt distinctio reprehenderit.
218,3804,2010-05-12,16784.16,Debit,Labore maxime occaecati eveniet possimus.
219,2572,2022-12-09,160786.78,Debit,Modi occaecati vero beatae voluptate quod.
220,1415,2014-04-18,83178.55,Debit,Maiores tenetur id beatae distinctio.
221,1474,2025-04-24,48734.33,Credit,Expedita dolorem fugiat veritatis.
222,4200,2014-02-16,318780.76,Credit,Vitae necessitatibus possimus amet eum.
223,3527,2013-08-10,68042.02,Debit,Doloremque cupiditate maiores impedit possimus.
224,2683,2003-03-05,363311.69,Debit,Dolorem at odio.
225,1039,2011-11-14,116728.1,Debit,Numquam voluptate minus numquam a.
226,4372,2010-12-02,116793.89,Debit,Et eos odio voluptates qui ducimus ea aperiam.
227,2746,2003-12-09,144972.23,Credit,Exercitationem quam fugit dolorum doloribus odio architecto rerum.
228,1630,2023-01-13,115679.39,Credit,Nesciunt nisi recusandae modi magni amet hic.
229,795,2012-06-30,119853.24,Credit,Hic voluptatibus magnam mollitia.
230,1237,2006-06-14,13766.26,Debit,Impedit nobis numquam dolores facilis nam unde.
231,2484,2002-06-13,386482.16,Credit,Corrupti voluptates veritatis id.
232,1160,2011-11-15,62981.82,Debit,Doloremque ducimus alias quae consequatur tempore.
233,473,2020-02-10,212544.45,Debit,Quas molestiae amet ad modi dignissimos nulla.
234,2825,2008-02-12,396684.03,Credit,Animi nihil aliquid laborum quae.
235,693,2017-08-04,318559.72,Credit,Nobis minima porro.
236,911,2015-01-31,107490.91,Debit,Sed autem animi quasi doloribus earum corrupti.
237,4825,2025-07-12,499998.66,Debit,Id suscipit sint labore nulla a.
238,3189,2007-08-06,320055.67,Credit,Quisquam suscipit ullam laborum minus quia.
239,2929,2023-11-15,11733.31,Debit,Magni quas eligendi expedita sed culpa.
240,4560,2011-06-20,320326.33,Credit,Quis odit velit impedit saepe eligendi maiores.
241,48,2025-01-04,413080.79,Credit,Adipisci rem esse sequi ullam beatae eveniet.
242,495,2019-05-26,451986.48,Debit,Animi maiores quisquam inventore laboriosam inventore exercitationem.
243,442,2009-07-18,489437.6,Credit,Quas at dolorum laudantium.
244,4392,2009-03-04,389342.02,Credit,Sapiente labore eligendi consequuntur modi dolores.
245,4662,2002-09-06,5813.66,Debit,Quisquam quasi necessitatibus eos.
246,4648,2013-03-10,429902.98,Debit,Quidem deleniti accusantium.
247,3913,2020-02-24,224924.33,Credit,Eos tenetur voluptatibus reprehenderit laboriosam praesentium cupiditate.
248,4929,2007-08-12,85534.09,Credit,Rerum delectus pariatur facere dolorem corrupti asperiores vel.
249,4804,2000-09-26,109497.59,Credit,Rerum nesciunt deleniti mollitia.
250,3815,2012-09-25,386032.12,Credit,Enim fugiat earum.
251,1283,2004-03-22,4448.79,Credit,Recusandae voluptates blanditiis.
252,1142,2003-11-29,366621.93,Debit,Porro eos doloremque provident quos omnis aliquid.
253,2502,2003-05-05,52134.82,Credit,Magnam officia consequatur dolorum labore vero.
254,4046,2000-06-08,257982.72,Credit,Assumenda sequi aut cumque.
255,4732,2008-10-20,307701.82,Debit,Dolor facere consequuntur architecto rem alias.
256,3334,2017-08-30,474082.76,Credit,Iure sed maxime.
257,1936,2010-02-19,349691.81,Debit,Veritatis quas nihil repellendus facilis neque.
258,267,2014-09-09,341779.41,Credit,Iste suscipit iure ea rerum.
259,1377,2024-10-28,458686.68,Credit,Ex officia nihil doloribus nostrum.
260,3326,2003-04-07,191109.73,Debit,Cupiditate architecto deserunt quisquam deserunt aspernatur expedita ullam.
261,770,2016-05-02,498303.69,Debit,Unde occaecati esse.
262,1683,2021-05-25,403595.57,Credit,Odit culpa rem deserunt dolore perferendis.
263,590,2007-06-01,64979.32,Credit,Commodi quaerat quisquam porro voluptatem.
264,2328,2001-10-31,284023.83,Debit,Dicta numquam explicabo quasi.
265,282,2007-03-14,454316.29,Debit,Molestias consequuntur consequatur cupiditate veniam non aliquid.
266,1899,2009-12-09,339894.23,Debit,Et illo in quidem fugit sint ex.
267,3880,2015-07-12,354201.29,Debit,Et aliquid nobis delectus placeat optio similique.
268,3874,2012-09-19,440333.86,Debit,Sequi quisquam veniam cum sunt ea.
269,517,2024-12-17,104360.87,Credit,Mollitia sint iusto molestias consectetur quis.
270,2406,2012-08-31,490559.59,Credit,Sed repellendus mollitia facilis.
271,4266,2019-11-07,56973.79,Credit,Accusantium maiores velit neque.
272,4400,2007-05-13,490793.01,Debit,Illo aperiam architecto qui deserunt natus.
273,2389,2011-11-29,412958.03,Credit,Dolorum soluta modi.
274,2755,2004-10-04,224535.62,Credit,Explicabo minima sapiente.
275,4215,2006-08-21,245079.57,Debit,Maxime consequatur deleniti consectetur aliquam nam vel quisquam.
276,35,2023-12-10,419791.92,Credit,Adipisci a nulla nobis vitae consectetur officia.
277,1128,2018-06-05,443373.67,Credit,Maiores ducimus nesciunt fuga accusamus cumque.
278,3433,2018-12-06,79630.11,Debit,Facere nemo animi tenetur eius consequuntur quisquam.
279,1132,2024-01-25,123930.85,Credit,Quod aliquam odit sint labore libero.
280,2275,2006-06-12,218327.57,Credit,Necessitatibus magni harum saepe similique eos nam nam.
281,4250,2003-05-29,487213.17,Credit,Perspiciatis voluptatibus similique ipsam.
282,4212,2012-06-03,2319.86,Credit,Nobis itaque at.
283,1933,2016-11-25,446168.51,Debit,Velit esse provident quisquam molestiae.
284,4054,2013-09-23,311560.09,Credit,Quos quod et.
285,1960,2023-05-16,478690.21,Debit,Vitae quasi maxime suscipit.
286,2369,2008-01-28,18178.24,Credit,Quis ut amet ipsum ut id.
287,2754,2004-12-01,414187.19,Debit,Fugiat doloribus aut corrupti consectetur voluptates consectetur.
288,3066,2023-02-19,374868.23,Credit,Odit sequi magnam.
289,1813,2008-06-21,384132.15,Credit,Voluptates rem deserunt dolorum.
290,4810,2005-08-17,370644.17,Credit,Quod voluptatum repellendus debitis sequi mollitia officia.
291,1052,2008-03-21,420230.51,Credit,Saepe exercitationem voluptates odio repellat accusantium culpa.
292,2858,2025-02-16,86603.86,Debit,Maiores fuga soluta cum.
293,3323,2017-12-01,220164.62,Debit,Velit veritatis dolorem officia a laboriosam.
294,1142,2016-08-19,96880.7,Credit,Temporibus ipsam itaque quae.
295,2012,2010-06-09,463353.42,Credit,Repudiandae tempora provident dolorum provident laborum quod.
296,1496,2016-04-14,53451.98,Debit,Sunt nostrum beatae.
297,3851,2015-09-03,37551.69,Credit,Ullam ex delectus sed.
298,684,2002-02-28,439215.06,Debit,Eos dicta officiis.
299,4859,2000-08-18,263256.23,Debit,Voluptate nostrum illo odit quod enim atque.
300,897,2000-07-04,163995.14,Debit,Culpa officia vero ipsum magnam vel corrupti.
301,4424,2010-03-21,444542.55,Debit,Ratione nihil minus.
302,4618,2019-09-13,237593.99,Credit,Minima ipsum aut debitis.
303,4958,2015-08-01,39058.03,Credit,Vero dignissimos minima delectus quisquam voluptates.
304,3124,2025-11-11,103595.25,Credit,Culpa quis repellendus dolore non.
305,2165,2009-02-19,86499.85,Debit,Cum nam iste modi quae.
306,1639,2005-07-09,32601.25,Debit,Doloremque aspernatur laborum earum occaecati perspiciatis vel.
307,34,2012-03-11,113262.37,Debit,Dolores laudantium deleniti.
308,2750,2006-06-26,206264.07,Credit,Harum recusandae incidunt odio quis quia dolores.
309,957,2001-12-14,158843.82,Debit,Laudantium nam distinctio quasi quos consequuntur unde.
310,4016,2005-12-24,266938.42,Debit,Id quaerat fuga.
311,1985,2010-06-18,130466.19,Credit,Numquam illo delectus praesentium.
312,3912,2003-03-01,88646.13,Debit,Fuga sint ea architecto commodi ex magni.
313,4756,2010-02-06,23099.0,Credit,Iure cupiditate in voluptates hic.
314,4245,2003-06-27,362575.44,Credit,Consequatur sed facilis a.
315,1785,2016-05-29,386631.73,Debit,Doloremque blanditiis provident dolor.
316,1605,2010-03-02,202191.92,Debit,Totam repudiandae maiores accusamus.
317,211,2024-07-01,44279.45,Credit,Neque vel assumenda enim.
318,4772,2013-08-05,221134.73,Debit,Quis molestiae beatae ad.
319,2124,2015-12-15,100134.73,Credit,Tempora maxime dignissimos laudantium minus quibusdam quia.
320,2833,2013-01-25,349520.74,Debit,Accusantium et dicta.
321,2367,2017-04-13,94514.29,Debit,Ipsam doloribus maxime ipsa illum voluptate.
322,2202,2000-03-29,114510.35,Debit,Incidunt aut deleniti cupiditate iure quae accusamus.
323,697,2004-05-03,2580.15,Debit,Harum iure quasi praesentium vero.
324,3220,2015-06-29,297642.21,Credit,Odio fugiat voluptatum.
325,2993,2003-06-16,105336.83,Debit,Quas iure ullam doloremque aliquid delectus.
326,3472,2020-12-25,3147.85,Credit,Ex doloribus laboriosam enim dolorum laudantium possimus.
327,1831,2018-03-29,400467.06,Credit,Voluptatum aperiam earum tempore nisi.
328,2132,2014-10-13,197390.66,Credit,Cum eos in quaerat doloribus.
329,4616,2023-03-03,276313.83,Credit,Id inventore accusantium animi expedita vero.
330,2006,2015-12-13,470155.39,Credit,Dolorem inventore ipsam veniam tempore commodi facere.
331,755,2005-11-14,190628.61,Credit,Pariatur possimus pariatur veritatis voluptatibus.
332,660,2018-07-23,301222.73,Credit,Dolorem dolor architecto sequi eveniet.
333,3921,2013-02-09,214091.19,Debit,Asperiores veniam ab nam cupiditate magni.
334,4969,2004-07-14,266722.1,Debit,Cupiditate ratione necessitatibus distinctio corrupti explicabo.
335,1510,2019-01-14,218223.56,Credit,Impedit atque incidunt suscipit.
336,4470,2003-03-14,236772.31,Debit,Fugiat repudiandae vel dolores dicta facere.
337,46,2009-03-16,275815.65,Debit,Nisi placeat eaque dolor illo.
338,3452,2018-02-20,471482.54,Debit,Debitis mollitia error doloremque ratione sit.
339,33,2000-01-29,338450.39,Credit,Aspernatur magnam esse repellendus maxime.
340,167,2012-11-29,396706.16,Debit,Nihil commodi cumque doloribus quos.
341,2117,2020-03-02,367532.02,Debit,Sed fugit vero nesciunt explicabo.
342,4318,2010-04-20,490321.19,Credit,Consectetur ducimus dicta modi tempora.
343,2436,2023-07-21,40311.45,Debit,Quas fuga ab numquam saepe.
344,2652,2023-09-19,132779.17,Debit,Molestiae voluptatem harum.
345,3921,2019-10-19,13221.17,Credit,Animi est dolores qui vitae alias.
