AccountID,CustomerID,AccountType,BranchID,Balance,OpenedDate
131,2783,Current,63,472679.97,2008-01-24
132,2744,Fixed Deposit,77,526905.52,2004-01-03
133,3147,Recurring Deposit,25,816042.48,2018-03-10
134,2020,Current,74,734197.19,2010-01-10
135,4184,Recurring Deposit,19,607931.96,2015-02-05
136,4157,Current,32,322929.06,2021-03-19
137,1875,Fixed Deposit,59,618166.91,2016-01-12
138,2830,Current,44,183523.1,2015-04-25
139,2762,Fixed Deposit,23,39604.18,2016-04-09
140,4133,Current,54,390918.03,2012-03-05
141,909,Fixed Deposit,51,717926.95,2025-03-26
142,1076,Fixed Deposit,48,659257.72,2004-07-22
143,4424,Current,95,881351.72,2010-06-24
144,371,Fixed Deposit,17,598185.06,2020-05-05
145,2064,Current,52,264814.43,2001-08-28
146,2970,Recurring Deposit,59,162484.31,2021-03-17
147,647,Recurring Deposit,89,958138.87,2018-03-24
148,3998,Fixed Deposit,94,173826.59,2009-04-04
149,3741,Fixed Deposit,22,843567.19,2004-01-26
150,882,Fixed Deposit,80,504149.83,2016-12-11
151,391,Current,59,614138.37,2000-04-03
152,2331,Savings,82,116252.56,2016-07-30
153,4138,Savings,87,680946.0,2025-12-13
154,514,Recurring Deposit,29,117139.54,2021-09-07
155,4544,Current,94,549038.78,2024-03-10
156,3103,Fixed Deposit,72,724742.76,2016-08-05
157,3865,Savings,25,383760.38,2014-10-15
158,3072,Fixed Deposit,81,881444.31,2022-02-25
159,813,Current,43,442620.37,2009-08-12
160,1543,Savings,87,668698.35,2023-03-12
161,2903,Fixed Deposit,62,460286.7,2009-05-22
162,482,Savings,29,235543.62,2012-06-13
163,1276,Fixed Deposit,32,701057.77,2025-09-06
164,1932,Savings,29,644888.11,2020-10-16
165,1732,Recurring Deposit,50,912155.04,2021-11-04
166,4309,Fixed Deposit,62,795715.31,2012-08-26
167,1892,Current,97,317024.6,2023-06-14
168,2336,Recurring Deposit,30,163252.19,2005-08-01
169,4550,Savings,40,41443.27,2017-03-31
170,1129,Fixed Deposit,48,83706.71,2016-03-16
171,1717,Current,55,629437.72,2007-09-20
172,1005,Recurring Deposit,38,141338.25,2010-11-29
173,3462,Fixed Deposit,45,170230.82,2012-11-05
174,3238,Current,71,800560.26,2018-10-19
175,2256,Recurring Deposit,77,266689.66,2016-07-23
176,947,Recurring Deposit,81,430477.89,2005-02-26
177,655,Recurring Deposit,15,34118.12,2020-02-04
178,3828,Savings,28,456952.24,2024-08-06
179,2129,Fixed Deposit,100,276290.22,2024-01-14
180,1392,Recurring Deposit,68,892432.55,2019-12-14
181,4990,Savings,76,527652.78,2015-05-26
182,3236,Recurring Deposit,61,26529.03,2011-08-31
183,2734,Savings,75,699735.08,2000-12-30
184,2115,Recurring Deposit,83,244400.86,2008-06-01
185,3811,Savings,82,276376.72,2016-09-13
186,2454,Savings,27,562598.57,2013-06-13
187,4700,Savings,35,497019.38,2016-05-30
188,424,Recurring Deposit,12,723775.23,2024-07-30
189,571,Savings,92,754593.87,2022-12-01
190,300,Recurring Deposit,38,847311.98,2000-06-25
191,3224,Fixed Deposit,64,516166.6,2014-12-03
192,4646,Current,17,25749.02,2002-03-25
193,864,Recurring Deposit,20,678218.24,2022-07-20
194,2364,Savings,7,402742.83,2008-11-29
195,611,Fixed Deposit,41,789947.65,2016-02-09
196,1252,Fixed Deposit,29,421353.96,2018-08-11
197,3992,Fixed Deposit,40,415089.94,2013-05-08
198,1064,Savings,65,60912.18,2001-07-06
199,2379,Current,23,890654.02,2025-07-25
200,3270,Current,26,867725.94,2010-04-18
201,3541,Fixed Deposit,12,61292.54,2014-06-14
202,312,Recurring Deposit,92,66222.23,2021-11-23
203,3715,Savings,10,297141.38,2004-01-13
204,138,Recurring Deposit,8,991891.23,2016-12-05
205,4461,Recurring Deposit,76,289147.62,2013-01-09
206,3284,Savings,35,8955.5,2007-05-03
207,4870,Recurring Deposit,27,457745.63,2008-06-11
208,3486,Fixed Deposit,81,922245.29,2016-09-08
209,4864,Current,95,98555.32,2019-03-06
210,2844,Fixed Deposit,93,134263.66,2010-08-22
211,1600,Savings,5,928969.61,2004-09-16
212,1285,Fixed Deposit,80,963545.71,2004-10-13
213,649,Savings,21,563709.5,2017-12-24
214,3046,Savings,52,585448.85,2012-09-27
215,114,Current,49,795271.4,2023-03-16
216,3921,Recurring Deposit,56,355585.46,2007-12-12
217,3848,Recurring Deposit,96,424036.53,2003-06-16
218,512,Current,48,177896.79,2018-09-13
219,4607,Current,14,111950.13,2004-08-09
220,1753,Fixed Deposit,28,554015.59,2010-02-07
221,522,Savings,33,258088.49,2000-01-11
222,55,Current,42,202208.98,2004-09-26
223,2416,Fixed Deposit,29,778567.19,2009-09-14
224,3656,Fixed Deposit,6,123174.51,2023-04-16
225,2283,Savings,12,325541.11,2018-04-27
226,2913,Savings,75,824923.54,2013-08-02
227,2570,Fixed Deposit,78,177196.23,2007-08-27
228,3067,Current,23,9780.73,2016-07-18
229,3171,Fixed Deposit,85,397379.86,2003-11-02
230,141,Fixed Deposit,40,119047.44,2005-01-10
231,3756,Recurring Deposit,65,501924.02,2012-07-11
232,2033,Recurring Deposit,79,197161.76,2004-11-21
233,3438,Current,27,415606.24,2014-02-08
234,3566,Current,77,309800.46,2022-02-15
235,51,Savings,87,85099.22,2020-11-25
236,4719,Savings,54,508649.0,2015-10-16
237,4128,Recurring Deposit,92,309558.12,2017-07-10
238,1507,Savings,13,75795.66,2001-12-15
239,332,Recurring Deposit,50,154374.45,2021-07-29
240,350,Current,15,466831.53,2020-07-27
241,527,Savings,31,996245.59,2003-07-02
242,2390,Savings,63,275962.39,2016-11-17
243,1853,Current,67,897362.36,2003-09-25
244,1318,Fixed Deposit,40,967156.7,2011-08-06
245,1922,Savings,66,513550.8,2016-12-03
246,588,Recurring Deposit,5,500742.27,2025-03-16
247,4601,Recurring Deposit,94,664283.87,2025-01-06
248,3382,Fixed Deposit,90,972599.3,2018-07-31
249,4999,Recurring Deposit,95,547276.16,2008-01-27
250,1871,Recurring Deposit,22,740873.42,2007-08-17
251,548,Fixed Deposit,44,797447.19,2010-03-24
252,119,Fixed Deposit,81,269610.88,2018-07-18
253,3459,Fixed Deposit,73,922430.26,2017-10-12
254,2165,Savings,22,958631.05,2020-07-01
255,3970,Savings,93,710644.24,2011-04-03
256,2232,Fixed Deposit,84,799589.23,2001-11-23
257,2885,Savings,12,202524.85,2001-07-04
258,1496,Fixed Deposit,23,476836.33,2017-11-10
259,2164,Recurring Deposit,36,29737.41,2001-02-27
260,52,Savings,58,787360.15,2019-02-20
261,4990,Fixed Deposit,67,597565.1,2010-07-18
262,1118,Recurring Deposit,74,323183.97,2023-04-23
263,3650,Recurring Deposit,65,65995.39,2023-12-10
264,1339,Savings,100,763720.87,2000-06-10
265,4428,Savings,23,161425.69,2016-10-29
266,966,Fixed Deposit,47,223633.77,2013-04-02
267,3463,Recurring Deposit,78,425472.32,2005-12-08
268,3608,Fixed Deposit,20,421531.74,2022-03-30
269,4771,Current,32,184500.17,2002-05-23
270,690,Current,2,298807.61,2011-02-18
271,232,Current,25,954169.61,2010-06-19
272,64,Current,62,656268.75,2001-05-31
273,4060,Fixed Deposit,22,19263.65,2001-12-09
274,637,Recurring Deposit,80,303996.34,2018-07-08
275,1860,Savings,76,253995.25,2006-04-14
276,2382,Savings,13,296295.6,2012-09-18
277,2028,Fixed Deposit,76,603566.28,2011-04-07
278,3860,Fixed Deposit,98,328640.98,2015-02-07
279,4983,Current,21,657466.9,2015-07-05
280,1155,Savings,9,240233.66,2016-09-23
281,2130,Recurring Deposit,8,142809.2,2012-11-22
282,785,Savings,31,559273.71,2019-09-30
283,1643,Recurring Deposit,55,204955.14,2009-03-26
284,1168,Fixed Deposit,68,792058.99,2022-04-29
285,4736,Fixed Deposit,37,300690.51,2000-05-26
286,276,Savings,64,252608.95,2011-08-06
287,1586,Recurring Deposit,66,359675.04,2003-12-07
288,3192,Savings,9,775052.85,2024-08-27
289,2161,Recurring Deposit,90,379205.55,2001-06-24
290,4729,Savings,72,13593.17,2007-07-05
291,333,Fixed Deposit,65,210575.47,2012-07-07
292,1017,Recurring Deposit,83,46453.75,2011-03-05
293,228,Fixed Deposit,52,193546.08,2000-12-29
294,1246,Savings,1,52940.47,2012-03-01
295,1226,Fixed Deposit,44,489224.39,2017-11-15
296,2028,Recurring Deposit,70,117957.72,2019-03-27
297,3357,Current,24,817406.38,2013-10-24
298,1743,Fixed Deposit,1,154714.99,2010-09-24
299,3847,Recurring Deposit,54,505695.34,2003-10-25
300,3139,Current,31,191853.28,2023-09-11
301,477,Recurring Deposit,48,488390.17,2015-02-01
302,2867,Savings,70,460827.02,2020-10-06
303,920,Current,75,336774.46,2023-01-15
304,3836,Current,86,236735.91,2017-11-20
305,2851,Recurring Deposit,64,249373.51,2013-07-31
306,3648,Savings,22,946170.18,2014-05-09
307,4244,Current,58,172742.17,2018-05-02
308,3397,Recurring Deposit,69,978745.76,2018-03-09
309,1559,Fixed Deposit,32,904294.98,2009-02-11
310,876,Fixed Deposit,21,966089.08,2015-12-08
311,2172,Fixed Deposit,69,147325.56,2014-11-13
312,4928,Recurring Deposit,22,601726.4,2024-11-03
313,2269,Current,31,965708.86,2002-07-29
314,3594,Current,88,47502.2,2000-05-19
315,4153,Fixed Deposit,71,428668.58,2017-08-20
316,4555,Fixed Deposit,39,712783.9,2015-11-12
317,3638,Recurring Deposit,49,65226.89,2016-07-24
318,4133,Fixed Deposit,48,587790.5,2002-02-24
319,4019,Savings,76,162602.8,2015-05-19
320,4651,Savings,69,842057.79,2005-02-25
321,1657,Recurring Deposit,99,925063.25,2000-11-30
322,4529,Recurring Deposit,19,648610.94,2008-12-21
323,412,Fixed Deposit,95,204673.64,2011-07-07
324,253,Recurring Deposit,43,413485.29,2014-04-30
325,4985,Current,45,287646.28,2011-06-20
326,3026,Fixed Deposit,28,557526.02,2002-09-24
327,4061,Fixed Deposit,58,820899.07,2003-12-22
328,1363,Fixed Deposit,88,540755.47,2009-08-22
329,1775,Recurring Deposit,9,210876.02,2009-02-09
330,1076,Fixed Deposit,32,391954.34,2022-12-17
331,2756,Savings,93,786471.28,2018-07-15
332,1175,Recurring Deposit,43,750214.99,2014-04-30
333,3039,Recurring Deposit,91,503954.15,2015-08-19
334,3158,Recurring Deposit,58,120024.4,2013-12-10
335,878,Current,61,480497.7,2015-09-17
336,4765,Current,12,956932.63,2014-03-28
337,3765,Savings,27,713927.01,2013-10-25
338,427,Current,24,854056.51,2023-04-19
339,2029,Savings,22,271818.54,2000-03-17
340,3253,Fixed Deposit,66,290041.22,2014-09-23
341,2020,Current,99,624019.69,2024-04-28
342,4149,Current,76,413504.57,2013-11-15
343,621,Savings,72,559918.35,2018-07-24
344,3356,Savings,87,457540.71,2004-07-31
345,2049,Current,90,964426.0,2000-01-22
346,3595,Fixed Deposit,84,433561.77,2012-04-05
347,3725,Recurring Deposit,85,829795.6,2013-03-22
348,1778,Recurring Deposit,27,154320.92,2006-08-22
349,1329,Current,49,542412.03,2018-01-15
350,1488,Recurring Deposit,23,433818.84,2001-03-24
351,4736,Current,79,899246.26,2001-09-21
352,878,Savings,53,621428.46,2011-11-07
353,501,Fixed Deposit,48,339780.52,2011-09-27
354,89,Fixed Deposit,73,177577.16,2017-08-26
355,1561,Savings,12,482119.66,2012-06-02
356,1719,Fixed Deposit,42,644045.08,2022-10-19
357,2869,Fixed Deposit,17,700630.36,2000-07-21
358,4550,Recurring Deposit,20,682461.68,2005-08-07
359,246,Savings,57,114972.79,2016-10-02
360,3664,Fixed Deposit,34,302196.17,2008-10-29
361,3508,Savings,27,967415.02,2005-08-05
362,605,Savings,68,915225.11,2010-07-25
363,1861,Recurring Deposit,22,11194.64,2013-06-10
364,3203,Savings,90,332113.52,2019-11-07
365,3700,Current,99,43729.53,2009-12-23
366,3017,Recurring Deposit,91,308366.12,2020-05-23
367,4869,Recurring Deposit,28,512291.4,2016-02-09
368,4844,Recurring Deposit,41,490131.15,2015-12-17
369,2260,Recurring Deposit,95,542436.75,2022-08-13
370,832,Savings,36,685972.83,2009-10-05
371,1905,Recurring Deposit,46,418081.04,2021-08-13
372,104,Current,18,19571.2,2022-03-29
373,4582,Fixed Deposit,11,809809.63,2012-03-28
374,1419,Fixed Deposit,89,688883.81,2006-11-05
375,3815,Savings,76,502225.58,2011-01-06
376,3515,Savings,97,716013.11,2020-12-03
377,2116,Current,30,549117.05,2023-04-22
378,2737,Recurring Deposit,87,108814.99,2018-12-01
379,4356,Recurring Deposit,24,773984.3,2005-08-09
380,3428,Recurring Deposit,31,269100.67,2014-10-16
381,4991,Recurring Deposit,63,347934.52,2006-04-19
382,3526,Recurring Deposit,5,28482.36,2004-12-15
383,690,Fixed Deposit,92,660497.69,2003-10-25
384,4180,Savings,92,912487.25,2005-12-13
385,1079,Fixed Deposit,9,329034.09,2004-10-01
386,3805,Fixed Deposit,93,749513.24,2006-08-26
387,3695,Fixed Deposit,54,996675.4,2013-06-19
388,1765,Savings,75,138753.83,2012-05-31
389,2545,Recurring Deposit,66,642453.53,2010-12-05
390,4336,Recurring Deposit,29,628525.33,2025-07-13
391,480,Fixed Deposit,18,820877.57,2018-03-04
392,2499,Recurring Deposit,94,895817.96,2003-05-31
393,3099,Fixed Deposit,71,872932.55,2013-12-13
394,4135,Recurring Deposit,76,574186.57,2023-04-20
395,4482,Recurring Deposit,49,692788.54,2001-01-05
396,4350,Recurring Deposit,32,397180.53,2025-07-02
397,1206,Recurring Deposit,70,557128.55,2015-11-19
398,2136,Fixed Deposit,75,605788.69,2006-04-18
399,2699,Current,15,467420.52,2024-02-18
400,4138,Recurring Deposit,23,225210.5,2025-12-27
401,40,Recurring Deposit,45,504507.52,2004-08-27
402,1136,Fixed Deposit,26,311763.97,2017-08-15
403,4633,Current,15,892760.39,2006-10-03
404,2957,Recurring Deposit,83,277178.46,2012-07-15
405,3332,Fixed Deposit,23,431450.47,2023-11-12
406,3486,Savings,6,223451.3,2022-10-06
407,2433,Recurring Deposit,58,742054.77,2001-03-27
408,4532,Current,22,89788.03,2021-05-27
409,4420,Fixed Deposit,19,381327.98,2019-02-21
410,2655,Current,28,394797.6,2001-02-03
411,3338,Fixed Deposit,28,90343.69,2007-04-03
412,777,Savings,22,937682.98,2001-11-09
413,2466,Current,85,802376.86,2006-11-12
414,1957,Current,50,569156.24,2008-04-03
415,1794,Current,18,818865.4,2001-03-05
416,4857,Fixed Deposit,95,697416.92,2008-10-26
417,2949,Savings,22,296857.99,2009-03-08
418,3241,Savings,39,867364.79,2010-04-16
419,897,Recurring Deposit,16,585514.94,2005-05-08
420,4448,Savings,58,161893.98,2012-05-04
421,1985,Savings,79,175418.68,2001-08-26
422,3333,Fixed Deposit,50,541072.07,2022-02-05
423,4675,Recurring Deposit,99,429488.1,2017-08-25
424,810,Fixed Deposit,89,899794.12,2006-10-03
425,1736,Current,15,119744.78,2022-10-01
426,3311,Current,58,297521.91,2025-05-31
427,4987,Current,63,468490.59,2014-01-25
428,1368,Recurring Deposit,49,610662.47,2014-03-08
429,3866,Savings,61,37568.56,2021-02-28
430,1800,Current,74,789717.14,2007-05-06
431,3872,Savings,16,177628.25,2020-02-12
432,1402,Fixed Deposit,32,845447.66,2001-01-10
433,4572,Current,99,794938.3,2006-07-02
434,1131,Fixed Deposit,21,398022.61,2015-05-02
435,3231,Current,92,154848.75,2011-12-25
436,313,Savings,31,17080.34,2006-02-09
437,3992,Fixed Deposit,100,602864.68,2004-07-07
438,4887,Recurring Deposit,75,297653.28,2011-12-22
439,4932,Current,51,702021.73,2017-06-13
440,2178,Savings,94,977673.21,2020-12-07
441,256,Recurring Deposit,95,883964.44,2012-10-22
442,1814,Fixed Deposit,89,211271.89,2023-02-22
443,4599,Current,20,807310.22,2000-07-29
444,4304,Recurring Deposit,77,742548.76,2019-11-17
445,4312,Current,86,751483.73,2011-08-06
446,59,Recurring Deposit,23,898480.34,2015-05-14
447,141,Fixed Deposit,45,500362.36,2017-12-25
448,4443,Savings,63,875310.13,2019-09-06
449,1507,Savings,30,149411.88,2014-12-13
450,1204,Savings,53,383374.57,2009-09-11
451,1739,Recurring Deposit,53,682126.18,2015-11-06
452,309,Recurring Deposit,54,88689.43,2014-02-12
453,866,Savings,72,225250.15,2012-08-29
454,4394,Recurring Deposit,46,845158.15,2009-12-24
455,1991,Savings,54,159308.71,2002-01-15
456,3883,Savings,46,851601.15,2013-12-15
457,3482,Recurring Deposit,72,275145.55,2011-06-18
458,2838,Savings,2,585169.65,2014-06-29
459,1230,Current,91,868307.96,2016-07-29
460,1346,Fixed Deposit,84,624816.58,2000-03-28
461,2163,Fixed Deposit,26,712993.26,2006-07-16
462,926,Recurring Deposit,81,262636.48,2012-11-21
463,2704,Current,15,155579.44,2006-07-08
464,4098,Fixed Deposit,46,166687.19,2023-10-03
465,4401,Current,46,830343.52,2005-07-13
466,4944,Fixed Deposit,84,469763.11,2020-03-24
467,3920,Savings,4,239706.29,2005-05-16
468,782,Current,42,152789.02,2025-11-01
469,1433,Recurring Deposit,71,428877.2,2016-08-31
470,2444,Savings,9,69694.17,2020-04-01
471,294,Fixed Deposit,8,155038.57,2017-10-05
472,4777,Savings,2,528743.45,2005-06-15
473,3348,Savings,47,194213.0,2003-08-18
474,2940,Savings,78,311139.26,2015-11-03
475,4160,Current,100,887069.03,2006-08-15
476,4560,Current,21,127215.83,2001-10-18
477,3863,Savings,17,557969.37,2020-01-24
478,1870,Current,71,739282.72,2015-01-09
479,4617,Savings,55,620629.98,2023-05-14
480,2916,Fixed Deposit,52,241662.86,2006-07-09
481,361,Savings,93,381884.74,2011-09-12
482,3791,Savings,66,999666.34,2012-04-10
483,1145,Recurring Deposit,42,75102.76,2017-12-20
484,4991,Fixed Deposit,21,815475.36,2024-07-26
485,4505,Savings,52,644015.97,2012-09-11
486,3776,Fixed Deposit,61,378787.75,2006-07-27
487,2428,Savings,5,902166.13,2003-08-16
488,3576,Current,83,413759.34,2014-08-22
489,1338,Savings,2,786788.49,2022-10-01
490,556,Recurring Deposit,86,808366.78,2003-06-06
491,4480,Fixed Deposit,6,901171.32,2016-12-15
492,3547,Current,3,587997.33,2018-03-15
493,3286,Savings,70,308300.53,2005-04-05
494,3179,Recurring Deposit,15,710030.39,2015-11-22
495,2130,Savings,98,810567.3,2015-08-12
496,3853,Current,10,577768.36,2002-04-27
497,3088,Fixed Deposit,79,319121.25,2024-09-11
498,1598,Recurring Deposit,48,321162.76,2014-08-31
499,1234,Savings,32,765609.35,2006-01-07
500,1450,Recurring Deposit,69,895728.68,2015-05-16
501,1020,Current,21,239822.22,2011-10-01
502,2284,Fixed Deposit,18,229452.06,2002-08-17
503,2287,Savings,33,567931.64,2013-11-29
504,964,Current,10,761168.91,2005-12-28
505,3352,Savings,70,28946.55,2016-12-13
506,1006,Fixed Deposit,80,878756.18,2009-04-18
507,1299,Savings,50,852442.5,2012-10-28
508,4828,Savings,70,703359.78,2000-11-15
509,2784,Recurring Deposit,32,759575.66,2020-07-24
510,4320,Current,35,923718.57,2005-02-05
511,3199,Recurring Deposit,39,896053.06,2008-04-01
512,2178,Savings,75,98510.76,2006-06-01
513,491,Current,10,563788.2,2024-01-23
514,165,Current,95,542176.69,2002-08-23
515,2765,Fixed Deposit,81,210771.6,2017-04-30
516,1275,Recurring Deposit,77,898107.81,2007-05-04
517,3328,Fixed Deposit,90,994921.58,2009-08-01
518,3953,Fixed Deposit,35,568890.41,2005-02-16
519,719,Current,11,750087.37,2022-08-23
520,2063,Fixed Deposit,74,963985.48,2020-05-20
521,4540,Fixed Deposit,77,781483.83,2016-12-24
522,2056,Fixed Deposit,82,386734.43,2010-10-11
523,4159,Savings,20,508486.5,2012-09-24
524,4225,Recurring Deposit,60,239146.0,2010-03-20
525,3794,Recurring Deposit,43,74540.45,2025-10-30
526,4875,Fixed Deposit,14,964729.87,2020-06-06
527,416,Savings,74,603166.61,2002-11-02
528,1795,Current,36,635039.06,2013-11-02
529,4335,Current,63,374813.5,2007-03-07
530,567,Recurring Deposit,32,854981.87,2003-08-22
531,1366,Savings,59,409108.12,2022-09-25
532,905,Savings,77,889877.32,2006-06-18
533,2553,Recurring Deposit,91,263251.78,2018-10-05
534,3572,Fixed Deposit,19,754120.84,2023-02-19
535,238,Recurring Deposit,64,860393.83,2011-06-28
536,1130,Fixed Deposit,2,177958.1,2013-03-09
537,4813,Savings,43,377638.34,2011-06-10
538,4457,Recurring Deposit,2,115850.93,2020-02-05
539,2930,Fixed Deposit,34,210114.05,2025-03-04
540,1257,Recurring Deposit,40,481503.54,2012-03-18
541,1906,Savings,27,88023.28,2000-11-10
542,4021,Fixed Deposit,100,593659.46,2001-11-22
543,3903,Savings,57,205655.88,2008-08-22
544,2147,Fixed Deposit,28,939188.8,2021-12-21
545,3223,Savings,75,462571.87,2000-11-24
546,4423,Fixed Deposit,10,32927.59,2005-08-29
547,3046,Recurring Deposit,5,919347.78,2003-10-04
548,140,Fixed Deposit,11,230225.7,2017-06-17
549,133,Savings,95,395220.01,2024-06-23
550,4482,Savings,5,258402.33,2018-03-14
551,3872,Fixed Deposit,16,224006.48,2015-01-28
552,3467,Savings,80,690322.03,2024-05-24
